customer_id,customer_full_name,customer_segment,customer_address,customer_city,customer_state,customer_country
00050,Mary Kim,Consumer,938 Rustic Pine Ridge,San Bernardino,CA,United States
00051,Jessica Smith,Home Office,8344 Dewy Fawn Farms,Caguas,PR,Puerto Rico
00052,Mary Lawson,Corporate,65 Silent Inlet,Chicago,IL,United States
00053,Katherine Smith,Corporate,975 Honey Loop,Roswell,GA,United States
00054,Mary Olson,Home Office,7333 Cinder Way,Caguas,PR,Puerto Rico
00055,Janet Farley,Home Office,6512 Middle Parade,Phoenix,AZ,United States
00056,Mary Kaiser,Consumer,7554 Stony Goose Crossing,Caguas,PR,Puerto Rico
00057,Mary Smith,Consumer,57 High Villas,Baltimore,MD,United States
00058,Michael Edwards,Consumer,4770 Blue Pines,Caguas,PR,Puerto Rico
00059,Douglas James,Consumer,2306 Green Lane,Sunnyvale,CA,United States
00060,Mary Gutierrez,Home Office,8632 Bright Route,Webster,NY,United States
00061,Margaret Summers,Home Office,8963 Hidden Panda Meadow,Caguas,PR,Puerto Rico
00062,Mary Oneal,Consumer,2659 Jagged Rabbit View,Brooklyn,NY,United States
00063,Aaron Smith,Home Office,2265 Foggy Lagoon Bend,Caguas,PR,Puerto Rico
00064,Mary Reynolds,Corporate,2407 Gentle Woods,Chicago,IL,United States
00065,Jennifer Smith,Consumer,7126 Shady Bluff Promenade,Princeton,NJ,United States
00066,Mary Booth,Home Office,8824 Noble View Valley,Caguas,PR,Puerto Rico
00067,Samantha Smith,Corporate,7869 Wishing Anchor Court,Chicago,IL,United States
00068,Mary Oneal,Consumer,376 Silver Terrace,Peoria,AZ,United States
00069,Megan Smith,Consumer,7796 Thunder Forest Villas,Caguas,PR,Puerto Rico
00070,Mary Simmons,Corporate,5553 Cinder Harbour,Los Angeles,CA,United States
00071,Charles Smith,Corporate,6140 Pleasant Dale Farm,Philadelphia,PA,United States
00072,Frank Gillespie,Consumer,5332 Heather Hills Isle,Vista,CA,United States
00073,Mary Smith,Home Office,8247 Little Cider Close,Caguas,PR,Puerto Rico
00074,Alice Rush,Corporate,409 Iron Park,Jacksonville,NC,United States
00075,Mary Smith,Consumer,1510 Broad Rise Expressway,Caguas,PR,Puerto Rico
00076,Joseph Young,Consumer,7605 Tawny Horse Falls,Los Angeles,CA,United States
00077,Shirley Dalton,Corporate,1021 Silver Log Cape,Caguas,PR,Puerto Rico
00078,Jeremy Smith,Home Office,2714 Dewy Bay,Parkville,MD,United States
00079,Mary Watkins,Consumer,1315 Honey Rabbit Link,Knoxville,TN,United States
00080,Joe Parsons,Corporate,3891 Broad Line,Caguas,PR,Puerto Rico
00081,Mary Smith,Home Office,8434 Honey Pines,Ithaca,NY,United States
00082,Jonathan Cook,Consumer,7885 Sleepy Cove,San Antonio,TX,United States
00083,Mary Wong,Corporate,8584 Lazy Via,Caguas,PR,Puerto Rico
00084,Douglas Smith,Consumer,6540 Emerald Turnabout,Tampa,FL,United States
00085,Mary Perez,Consumer,5104 Iron Log Limits,Caguas,PR,Puerto Rico
00086,John Smith,Corporate,8780 Colonial Orchard,Fort Worth,TX,United States
00087,Gloria Brown,Corporate,3996 Crystal Zephyr Swale,Caguas,PR,Puerto Rico
00088,Mary Henry,Corporate,7262 Cotton Arbor,Atlanta,GA,United States
00089,Sean Smith,Consumer,9126 Wishing Expressway,Escondido,CA,United States
00090,Mary Hurley,Consumer,6640 Sunny Via,Caguas,PR,Puerto Rico
00091,Ashley Smith,Consumer,4515 Golden Manor,Spring,TX,United States
00092,Alexander Medina,Home Office,2805 Dewy Impasse,Caguas,PR,Puerto Rico
00093,Mary Robbins,Corporate,456 Colonial Glen,Annapolis,MD,United States
00094,Mary Smith,Corporate,921 Broad Chase,Caguas,PR,Puerto Rico
00095,Susan Williams,Corporate,3587 Thunder Rise,Hyattsville,MD,United States
00096,Virginia Smith,Home Office,6080 Blue Close,Caguas,PR,Puerto Rico
00097,Mary Rhodes,Corporate,1463 Silver Mountain Gate,Phoenix,AZ,United States
00098,William Smith,Consumer,4592 Grand Timber Ramp,Caguas,PR,Puerto Rico
00099,Betty Munoz,Consumer,9761 Green Jetty,Las Vegas,NV,United States
00100,George Barrett,Consumer,4110 Silent Pointe,Caguas,PR,Puerto Rico
00101,Mary Briggs,Corporate,8342 Crystal Drive,Dorchester Center,MA,United States
00102,Gregory Smith,Corporate,5393 Hidden Glade,Caguas,PR,Puerto Rico
00103,Mary Williams,Corporate,4501 Cinder Dell,Broomfield,CO,United States
00104,Debra Wood,Home Office,8263 Harvest Estates,Saint Paul,MN,United States
00105,Mary Smith,Consumer,8696 Fallen Cloud Circle,Caguas,PR,Puerto Rico
00106,Lauren Freeman,Corporate,2783 Foggy Mews,Napa,CA,United States
00107,Mary Weaver,Consumer,1449 Amber Island,Caguas,PR,Puerto Rico
00108,Joshua Smith,Consumer,4587 Noble Zephyr Promenade,Bronx,NY,United States
00109,Mary Thompson,Corporate,8662 Clear Nectar Mall,Caguas,PR,Puerto Rico
00110,David Miranda,Corporate,1491 Little Robin Way,Beaverton,OR,United States
00111,Frank Smith,Corporate,8736 Hazy River Manor,Caguas,PR,Puerto Rico
00112,Mary Daniels,Consumer,9814 Blue Anchor Dell,Middletown,OH,United States
00113,Patricia Smith,Consumer,2457 Blue Hills Heights,Caguas,PR,Puerto Rico
00114,Alice Warner,Home Office,4566 Burning Deer Meadow,Bellflower,CA,United States
00115,Mary Smith,Consumer,1613 Broad Beach,West Covina,CA,United States
00116,John Hill,Home Office,3996 Honey Grove Place,Caguas,PR,Puerto Rico
00117,Mary Smith,Consumer,6063 Golden Point,La Crosse,WI,United States
00118,Katherine Olson,Consumer,9530 Little Fox Towers,Ogden,UT,United States
00119,Mary Rosario,Consumer,5488 Thunder Fox Extension,Caguas,PR,Puerto Rico
00120,Nancy Smith,Consumer,7840 Umber Sky Villas,Bronx,NY,United States
00121,Mary Yoder,Corporate,3570 Crystal Cider Circuit,Caguas,PR,Puerto Rico
00122,Karen Smith,Consumer,7573 Cozy Goose Road,Cincinnati,OH,United States
00123,Mary Mann,Corporate,7676 Colonial Towers,Bend,OR,United States
00124,Judy Smith,Consumer,911 Sleepy Cloud Carrefour,Caguas,PR,Puerto Rico
00125,Mary Gallagher,Consumer,9831 Sunny Cloud Valley,Oxnard,CA,United States
00126,Austin Smith,Home Office,852 Hazy Gate Circuit,Amarillo,TX,United States
00127,Mary Martin,Home Office,437 Cozy Log Range,Caguas,PR,Puerto Rico
00128,Rose Lopez,Consumer,9557 Harvest Mews,Augusta,GA,United States
00129,Crystal Smith,Home Office,3688 Thunder Prairie Heights,Caguas,PR,Puerto Rico
00130,Mary Holland,Home Office,9897 Sunny Via,Aurora,IL,United States
00131,Brenda Cline,Consumer,8632 Bright Route,Methuen,MA,United States
00132,Eric Smith,Corporate,1131 Cotton Grounds,Caguas,PR,Puerto Rico
00133,Mary Lopez,Consumer,948 Thunder Gate Beach,Brooklyn,NY,United States
00134,Donna Gomez,Consumer,1690 Cinder Deer Chase,Brooklyn,NY,United States
00135,Mary Smith,Consumer,9624 Hidden Villas,Caguas,PR,Puerto Rico
00136,Ryan Griffin,Corporate,7897 Stony Thicket,Lynn,MA,United States
00137,Jonathan Perkins,Consumer,182 Bright Embers Cove,Broken Arrow,OK,United States
00138,Mary Dawson,Consumer,9544 Noble Spring Route,Caguas,PR,Puerto Rico
00139,Daniel Maxwell,Home Office,9468 Red Corner,San Diego,CA,United States
00140,Amanda Smith,Corporate,5712 Heather Rise,Caguas,PR,Puerto Rico
00141,Mary Mcmahon,Consumer,1526 Broad Mountain Plaza,Brooklyn,NY,United States
00142,Heather Smith,Consumer,814 Jagged Cape,Opa Locka,FL,United States
00143,Mary Byrd,Corporate,7793 Round Oak Key,Caguas,PR,Puerto Rico
00144,David Smith,Corporate,8289 Stony Thicket,Bronx,NY,United States
00145,Joan Walters,Consumer,8314 Burning Circuit,Dayton,OH,United States
00146,Amber Mercado,Home Office,14 Dusty Lake Beach,Caguas,PR,Puerto Rico
00147,Mary Smith,Home Office,443 Jagged Lane,Hanover,PA,United States
00148,Stephanie Richards,Consumer,245 Lost Way,Caguas,PR,Puerto Rico
00149,Shirley Mcclain,Home Office,9729 Emerald Pony Mount,Colton,CA,United States
00150,Mary Smith,Corporate,5593 Indian Trail,Union,NJ,United States
00151,Lisa Shaw,Consumer,9772 Noble Prairie Quay,Richmond,TX,United States
00152,Mary Smith,Consumer,8333 Red Passage,Caguas,PR,Puerto Rico
00153,Andrew Marshall,Home Office,8428 Blue Prairie Farm,Hollywood,FL,United States
00154,Emily May,Corporate,6697 Thunder Dale Downs,Brandon,FL,United States
00155,Brittany Juarez,Consumer,1809 Lost Pine Ledge,Caguas,PR,Puerto Rico
00156,Mary Smith,Consumer,2291 Thunder Leaf Corners,Los Angeles,CA,United States
00157,Catherine Chan,Corporate,7125 Silent Expressway,Citrus Heights,CA,United States
00158,Mary Smith,Corporate,5517 Jagged Hollow,Caguas,PR,Puerto Rico
00159,John Love,Corporate,5002 High Bank,Corona,NY,United States
00160,Ashley Smith,Home Office,3271 Amber Downs,Brooklyn,NY,United States
00161,Mary Smith,Corporate,6889 Pleasant Mount,Hialeah,FL,United States
00162,John Garcia,Corporate,5452 Jagged Green,Caguas,PR,Puerto Rico
00163,Austin Diaz,Consumer,6843 Dusty Log Edge,Rio Rancho,NM,United States
00164,Mary Carlson,Consumer,4527 Silent Fawn Wharf,Caguas,PR,Puerto Rico
00165,Joseph Ewing,Consumer,7129 Fallen Trace,Antioch,CA,United States
00166,Steven Smith,Consumer,2805 Indian Passage,Florissant,MO,United States
00167,Stephanie Rodriguez,Corporate,923 Little Bend,Columbus,OH,United States
00168,Eric Morris,Consumer,295 Quaking Timber By-pass,Caguas,PR,Puerto Rico
00169,Debra Mccarthy,Corporate,3216 Rocky Centre,Bronx,NY,United States
00170,Mary Smith,Corporate,1996 Easy Parade,Broomfield,CO,United States
00171,Evelyn Potter,Consumer,1661 Gentle Rabbit Turnabout,Caguas,PR,Puerto Rico
00172,Lauren Rush,Home Office,6229 Indian Robin Parade,Chino,CA,United States
00173,Jose Smith,Consumer,3493 High Apple Walk,Lombard,IL,United States
00174,Mary Perez,Home Office,6332 Round Range,Caguas,PR,Puerto Rico
00175,Ronald Guzman,Home Office,8284 Pleasant Pine Villas,Los Angeles,CA,United States
00176,Amy Smith,Corporate,151 Red Deer Landing,Dundalk,MD,United States
00177,Mary Melendez,Consumer,7027 Sleepy Farm,Caguas,PR,Puerto Rico
00179,Mary Rodgers,Consumer,8916 Round Zephyr Ridge,Los Angeles,CA,United States
00180,Juan Smith,Corporate,2017 Fallen Sky Row,Caguas,PR,Puerto Rico
00181,Mary Jones,Home Office,1723 Tawny Via,Irwin,PA,United States
00182,James Ortiz,Consumer,7446 Rocky Inlet,Caguas,PR,Puerto Rico
00183,Wayne Smith,Consumer,4197 Lazy Diversion,Hayward,CA,United States
00184,Mary Boyd,Consumer,3594 Thunder Zephyr Bank,Lindenhurst,NY,United States
00185,Deborah Smith,Consumer,9295 Emerald Downs,Louisville,KY,United States
00186,Diane Jones,Home Office,7580 Cozy Inlet,Caguas,PR,Puerto Rico
00187,Mildred Herrera,Consumer,8771 Middle Quail Heath,Antioch,CA,United States
00188,Mary Smith,Consumer,771 Noble Parkway,Los Angeles,CA,United States
00189,Angela Peterson,Corporate,4435 Harvest Apple Port,San Marcos,TX,United States
00190,Mary Hayes,Corporate,3819 Easy Knoll,Caguas,PR,Puerto Rico
00191,Victoria Smith,Home Office,8311 Round Lookout,Portland,OR,United States
00192,Mary Hall,Home Office,3342 Bright Robin Stead,Caguas,PR,Puerto Rico
00193,Melissa Flores,Corporate,1494 Indian Range,Gaithersburg,MD,United States
00194,Mary Bates,Consumer,1185 Rustic River Thicket,Caguas,PR,Puerto Rico
00195,Richard Smith,Corporate,9363 Dusty Butterfly Extension,Modesto,CA,United States
00196,Thomas Watson,Home Office,4179 Merry Wood,Dearborn,MI,United States
00197,Ruth Smith,Consumer,2311 Green Zephyr Rise,Caguas,PR,Puerto Rico
00198,Mary Joseph,Home Office,5078 Green Street,Lancaster,PA,United States
00199,Cynthia Horn,Home Office,9092 Middle Deer Dale,Caguas,PR,Puerto Rico
00200,Keith Smith,Consumer,9315 Shady Grove Row,Lynn,MA,United States
00201,Mary Grimes,Consumer,1822 Rustic Lane,Jacksonville,FL,United States
00202,Sharon Smith,Home Office,586 Gentle Anchor Chase,Caguas,PR,Puerto Rico
00203,Madison Blankenship,Home Office,5486 Jagged Lake Avenue,Phoenix,AZ,United States
00204,Mary Smith,Consumer,6501 Blue Green,Las Vegas,NV,United States
00205,Ryan Garcia,Corporate,911 Lost Zephyr Vista,Caguas,PR,Puerto Rico
00206,Mary West,Consumer,5274 Noble Isle,Pompano Beach,FL,United States
00207,Jose Powers,Corporate,3937 Sunny Common,Caguas,PR,Puerto Rico
00208,Mary Smith,Home Office,3856 Noble Zephyr By-pass,Bayamon,PR,Puerto Rico
00209,Thomas Moore,Consumer,2857 Cozy Mews,Fort Worth,TX,United States
00210,Jonathan Burns,Corporate,432 Rocky Link,Caguas,PR,Puerto Rico
00211,Mary Smith,Corporate,4778 Misty Bear Port,Lawrenceville,GA,United States
00212,Roger Johnson,Consumer,5723 Stony Valley,South Ozone Park,NY,United States
00213,Mary Mclaughlin,Corporate,3881 Golden Corners,Enfield,CT,United States
00214,Lauren Booth,Home Office,3178 Golden Villas,Caguas,PR,Puerto Rico
00215,Mary Smith,Home Office,5364 Heather Quail Court,Flushing,NY,United States
00216,Martha Davis,Home Office,7469 Misty Log Estates,Visalia,CA,United States
00217,Mary Hughes,Corporate,1490 Silver Canyon,Caguas,PR,Puerto Rico
00218,Charles Tyler,Consumer,4845 Thunder Embers Hollow,La Puente,CA,United States
00220,Janet Smith,Consumer,4629 Dusty Pony Highway,Salinas,CA,United States
00221,Mary Cox,Consumer,7463 Clear Branch Thicket,Columbus,OH,United States
00222,Frank Ruiz,Corporate,9871 Cozy Pioneer Mountain,Carol Stream,IL,United States
00223,Ralph Smith,Home Office,7302 Cotton Freeway,Caguas,PR,Puerto Rico
00224,Mary Hernandez,Corporate,8777 Silent View,Wheeling,WV,United States
00225,Megan Watson,Corporate,732 Honey Harbour,Caguas,PR,Puerto Rico
00226,Rose Sanders,Consumer,4583 Heather Blossom Diversion,Oxnard,CA,United States
00227,Mary Smith,Home Office,6120 Cozy Ledge,Tempe,AZ,United States
00228,Jessica Clark,Consumer,521 Fallen Lagoon Glade,Caguas,PR,Puerto Rico
00229,Mary Garrett,Consumer,4312 Bright Corner,Jacksonville,FL,United States
00230,Kimberly Smith,Consumer,5835 Harvest Vista,Caguas,PR,Puerto Rico
00231,Mary Conner,Consumer,2737 Jagged Byway,Wyoming,MI,United States
00232,Gloria Bean,Corporate,4197 Colonial Prairie Mews,Caguas,PR,Puerto Rico
00233,Hannah Smith,Corporate,636 Middle Mountain Farms,Glendale,AZ,United States
00234,Mary Giles,Consumer,3729 Cinder Grove Concession,Miami,FL,United States
00235,David Smith,Consumer,75 Sunny Grounds,Piscataway,NJ,United States
00236,Ashley Clark,Home Office,7017 Clear Bay,Caguas,PR,Puerto Rico
00237,Mary Smith,Consumer,3282 Indian Hollow,San Jose,CA,United States
00238,Charles Turner,Corporate,7760 Golden Limits,Caguas,PR,Puerto Rico
00239,Mary Simpson,Corporate,5530 Dewy Pioneer By-pass,Mcallen,TX,United States
00240,David Smith,Consumer,1099 High Green,Caguas,PR,Puerto Rico
00241,Janet Carter,Corporate,9439 Pleasant Rise Falls,Hamilton,OH,United States
00242,Mary Stein,Corporate,5292 Heather Zephyr Forest,Mililani,HI,United States
00243,Deborah Smith,Consumer,7637 Silver Lake Passage,Caguas,PR,Puerto Rico
00244,Mary Hutchinson,Home Office,4502 Crystal Turnabout,Long Beach,CA,United States
00245,Deborah Smith,Consumer,6425 Thunder Impasse,Yonkers,NY,United States
00246,Mary Wood,Consumer,9768 Noble Horse Heights,Oak Lawn,IL,United States
00247,Angela Smith,Consumer,7798 Lost Front,Caguas,PR,Puerto Rico
00248,Christina Walsh,Corporate,3836 Stony Point,Houston,TX,United States
00249,Mary Randolph,Consumer,6026 Stony Elk Hill,Portland,OR,United States
00250,Julie Smith,Consumer,4297 Quiet Shadow Quay,Caguas,PR,Puerto Rico
00251,Kelly Adams,Corporate,5647 Indian Embers Key,Saint Paul,MN,United States
00252,Mary Frazier,Corporate,7126 Shady Bluff Promenade,Richardson,TX,United States
00253,Nancy Smith,Consumer,8344 Colonial Maze,Caguas,PR,Puerto Rico
00254,Diana Hale,Consumer,5950 Silver Elk Ledge,San Antonio,TX,United States
00255,Mary Smith,Corporate,68 Foggy Timber Walk,Caguas,PR,Puerto Rico
00256,David Rodriguez,Consumer,7605 Tawny Horse Falls,Chicago,IL,United States
00257,Mary Harrison,Consumer,9135 Green Island Moor,Humacao,PR,Puerto Rico
00258,Aaron Kennedy,Corporate,8830 Honey Fawn Bend,Philadelphia,PA,United States
00259,Mary Bates,Consumer,382 Rocky Pond By-pass,Caguas,PR,Puerto Rico
00260,Kenneth Smith,Corporate,7000 Rocky Pond End,North Hollywood,CA,United States
00261,Mary Parker,Corporate,6470 Round Pioneer Extension,Cerritos,CA,United States
00262,Mary Morgan,Home Office,8352 Pleasant Rise Valley,Chicago,IL,United States
00263,Margaret Bradley,Consumer,7509 Harvest Highlands,Caguas,PR,Puerto Rico
00264,Mary Smith,Corporate,7213 Cozy Quay,Goleta,CA,United States
00265,Michelle Solis,Home Office,3440 Emerald Knoll,Dubuque,IA,United States
00266,Mary Knapp,Corporate,8460 Dewy Nook,Caguas,PR,Puerto Rico
00267,Richard Smith,Consumer,7601 Blue Gate,Columbus,OH,United States
00268,Mary Miller,Home Office,2486 Broad Walk,Caguas,PR,Puerto Rico
00269,Jeffrey Simon,Consumer,4813 Red Wagon  Farms,Chicago,IL,United States
00270,Janet Smith,Consumer,3392 Indian Glen,Caguas,PR,Puerto Rico
00271,Justin White,Corporate,4906 Umber Lookout,Fremont,CA,United States
00272,Mary Long,Corporate,4063 Little Creek Court,Caguas,PR,Puerto Rico
00273,Benjamin Smith,Corporate,8950 Thunder Fawn Farm,Jamaica,NY,United States
00274,Mary Moyer,Consumer,5120 Indian Pine Passage,San Antonio,TX,United States
00275,Robert Smith,Consumer,9598 Iron Park,Caguas,PR,Puerto Rico
00276,Christina Wright,Corporate,4581 Emerald Gate Park,West Covina,CA,United States
00277,Roger Hunt,Corporate,2060 Cotton Quail Heights,Caguas,PR,Puerto Rico
00278,Mary Graves,Consumer,6391 Sleepy Gardens,Brooklyn,NY,United States
00279,Anna Smith,Consumer,7373 Shady Island,Bayamon,PR,Puerto Rico
00280,Mary Ortiz,Corporate,4929 Red Road,Caguas,PR,Puerto Rico
00281,Stephanie Smith,Corporate,5779 Quiet Brook Pines,Juana Diaz,PR,Puerto Rico
00282,Zachary Pugh,Home Office,1208 Cotton Bluff Carrefour,Caguas,PR,Puerto Rico
00283,Mary Smith,Consumer,9765 Quaking Turnabout,Wilmington,CA,United States
00284,John Harrington,Consumer,8172 Gentle Elk Beach,Caguas,PR,Puerto Rico
00285,Shirley Smith,Consumer,7595 Rocky Island Trail,Lancaster,CA,United States
00286,Mary Baker,Corporate,1795 Dusty Hills Village,Santa Cruz,CA,United States
00287,Andrew Salazar,Consumer,3939 Easy Fawn Nook,Caguas,PR,Puerto Rico
00288,Judith Smith,Consumer,3257 Sleepy View Downs,San Juan,PR,Puerto Rico
00289,Diana Richards,Corporate,3593 Easy Embers Field,Morristown,NJ,United States
00290,Mary Garza,Consumer,1893 Shady Path,Caguas,PR,Puerto Rico
00291,John Smith,Corporate,97 Burning Landing,Bristol,CT,United States
00292,Mary Estrada,Home Office,599 Stony Pike,Columbus,OH,United States
00293,Christopher Prince,Corporate,1974 Stony Wharf,Caguas,PR,Puerto Rico
00294,Mary Smith,Consumer,6030 Clear Log Close,Newark,DE,United States
00295,Julie Tanner,Home Office,8172 Gentle Elk Beach,Caguas,PR,Puerto Rico
00296,Mary Mullen,Corporate,7370 Sleepy Way,Detroit,MI,United States
00297,Catherine Smith,Corporate,3176 Colonial Quay,Caguas,PR,Puerto Rico
00298,Mary Logan,Corporate,7694 Umber Terrace,Chicago,IL,United States
00299,Katherine Smith,Consumer,7658 Blue Bear Extension,Troy,MI,United States
00300,Mary Key,Consumer,6630 Umber Dale View,Plano,TX,United States
00301,Arthur Smith,Home Office,6956 Misty Anchor Close,Caguas,PR,Puerto Rico
00302,Mary Nguyen,Corporate,3582 Quiet Cider Lane,Fullerton,CA,United States
00303,Thomas Rowe,Consumer,3278 Quiet Hollow,Caguas,PR,Puerto Rico
00304,Christopher Smith,Home Office,3329 Wishing Lake Cove,New Haven,CT,United States
00305,Mary Lawrence,Consumer,1338 Indian Prairie Extension,Caguas,PR,Puerto Rico
00306,Alan Boyle,Home Office,753 Emerald Pine Glen,Phoenix,AZ,United States
00307,Mary Smith,Consumer,2409 Burning Boulevard,Baltimore,MD,United States
00308,Alan Berger,Home Office,4687 Stony Goose Crossing,South Ozone Park,NY,United States
00309,Phillip Smith,Corporate,4651 Dewy Village,Caguas,PR,Puerto Rico
00310,Mary Fox,Corporate,1285 Green Valley,York,PA,United States
00311,Michael Townsend,Home Office,6292 Little Deer Wood,Austin,TX,United States
00312,Jack Smith,Consumer,2082 Quiet Wynd,Houston,TX,United States
00313,Mary Stark,Consumer,4545 Dewy Apple Concession,Caguas,PR,Puerto Rico
00314,Maria Smith,Consumer,6611 Colonial Wharf,Milwaukee,WI,United States
00315,Danielle Hampton,Home Office,1846 Cotton Oak Parkway,Modesto,CA,United States
00316,Mary Smith,Consumer,5012 Rustic Fawn Circuit,Caguas,PR,Puerto Rico
00317,Deborah Salazar,Consumer,2703 Silver Goose Lane,Wayne,NJ,United States
00318,Samantha Smith,Consumer,3927 Rustic Mews,Caguas,PR,Puerto Rico
00319,Arthur Brown,Corporate,9836 Silver Fox Private,Chicago,IL,United States
00320,Mary Brooks,Consumer,4063 Little Creek Court,Chicago,IL,United States
00321,David Smith,Consumer,2262 Tawny Jetty,Ann Arbor,MI,United States
00322,Barbara Kemp,Consumer,4905 Lazy Stead,Caguas,PR,Puerto Rico
00323,Joshua Smith,Consumer,3758 Sunny Mall,New York,NY,United States
00324,Jean Clay,Corporate,690 Amber Moor,Pico Rivera,CA,United States
00325,Mary Smith,Corporate,275 Round Brook Dell,Washington,DC,United States
00326,Shirley Stafford,Consumer,6007 Velvet Maze,Caguas,PR,Puerto Rico
00327,Mary Smith,Consumer,4864 Velvet Chase,Carrollton,TX,United States
00328,William Morrison,Consumer,4922 Middle Hills Promenade,Caguas,PR,Puerto Rico
00329,Samantha Higgins,Consumer,5032 Crystal Rabbit Private,Miami,FL,United States
00330,Mary Smith,Corporate,595 Hidden Parade,Caguas,PR,Puerto Rico
00331,Alexander Russell,Home Office,3304 Heather Pioneer Vista,Tempe,AZ,United States
00332,Mary Smith,Consumer,8416 Emerald Dale,Placentia,CA,United States
00333,Elizabeth Ferguson,Consumer,6847 Broad Orchard,Caguas,PR,Puerto Rico
00334,Kathleen Oconnor,Consumer,6075 Shady Farms,Tracy,CA,United States
00335,Mary Smith,Consumer,1082 Rustic Rabbit Street,Caguas,PR,Puerto Rico
00336,Ruth Armstrong,Consumer,6146 Dewy Jetty,New York,NY,United States
00337,Mary Neal,Corporate,9518 Old Corner,New Haven,CT,United States
00338,Ryan Smith,Consumer,5292 Cinder Elk Moor,Caguas,PR,Puerto Rico
00340,Theresa Wiggins,Consumer,2355 Velvet Hickory Crest,Denton,TX,United States
